seed,domain,arm,updates,status
11,Drishti_GS,LIN_MT_CONF,2100,COMPLETE
11,Drishti_GS,LIN_MT_PAS,2100,COMPLETE
11,Drishti_GS,LIN_SUP,2100,COMPLETE
11,RIM_ONE_r3,LIN_MT_CONF,3200,COMPLETE
11,RIM_ONE_r3,LIN_MT_PAS,3200,COMPLETE
11,RIM_ONE_r3,LIN_SUP,3200,COMPLETE
21,Drishti_GS,LIN_SUP,2100,COMPLETE
21,Drishti_GS,SUP_G1,2100,COMPLETE
21,RIM_ONE_r3,LIN_SUP,3200,COMPLETE
21,RIM_ONE_r3,SUP_G1,3200,COMPLETE
22,Drishti_GS,LIN_SUP,2100,COMPLETE
22,Drishti_GS,SUP_G1,2100,COMPLETE
22,RIM_ONE_r3,LIN_SUP,3200,COMPLETE
22,RIM_ONE_r3,SUP_G1,3200,COMPLETE
