category,gate,observed,comparison,threshold,passed
VALUE,overall_gain,0.16850701779047195,>=,0.17,False
VALUE,historical_gain,0.2527605266857079,>=,0.27,False
VALUE,positive_REFUGE,0.25484695726028583,>,0.0,True
VALUE,positive_RIM_ONE_r3,0.25067409611112995,>,0.0,True
VALUE,positive_seed_0,0.22449230899361375,>,0.0,True
VALUE,positive_seed_1,0.19810429032792662,>,0.0,True
VALUE,positive_seed_2,0.08292445404987546,>,0.0,True
SAFETY,current_mean_drop,0.0,<=,0.01,True
SAFETY,current_maximum_class_drop,0.0,<=,0.015,True
SAFETY,maximum_seed_domain_mean_drop,0.0,<=,0.02,True
SAFETY,current_case_delta_below_minus_010,0.0,==,0,True
BASELINE,overall_difference_from_SHOR,-0.03507775953816725,>=,-0.01,False
BASELINE,historical_difference_from_SHOR,-0.060274321203489134,>=,-0.02,False
INCREMENTAL,current_drop_reduction_from_SHOR,0.015315363792476487,>=,0.005,True
