task_id,role,source_commit,initialization_commit,initialization,training_space,domain,source_domain,L_patients,U_access,split,seed,order,arm,budget,new_updates,reused,purpose,status
O1_s72_C_FULLMIX_LOW,new_target,3d9dade9ab254b4e3cabb488f3034e3198a67087,87bb70ee05609e77935b1bab5b9a44c9532dc491,O1_s72_SRC_CE,F_CONV_14_weights_438192,Drishti_GS,RIM_ONE_r3,5,0,0,72,O1,C_FULLMIX_LOW,low,2100,False,target_label_sensitivity,QUEUED_AT_STARTUP
O2_s72_C_FULLMIX_LOW,new_target,3d9dade9ab254b4e3cabb488f3034e3198a67087,87bb70ee05609e77935b1bab5b9a44c9532dc491,O2_s72_SRC_CE,F_CONV_14_weights_438192,RIM_ONE_r3,Drishti_GS,8,0,0,72,O2,C_FULLMIX_LOW,low,3200,False,target_label_sensitivity,QUEUED_AT_STARTUP
O1_s73_C_FULLMIX_LOW,new_target,3d9dade9ab254b4e3cabb488f3034e3198a67087,87bb70ee05609e77935b1bab5b9a44c9532dc491,O1_s73_SRC_CE,F_CONV_14_weights_438192,Drishti_GS,RIM_ONE_r3,5,0,0,73,O1,C_FULLMIX_LOW,low,2100,False,target_label_sensitivity,QUEUED_AT_STARTUP
O2_s73_C_FULLMIX_LOW,new_target,3d9dade9ab254b4e3cabb488f3034e3198a67087,87bb70ee05609e77935b1bab5b9a44c9532dc491,O2_s73_SRC_CE,F_CONV_14_weights_438192,RIM_ONE_r3,Drishti_GS,8,0,0,73,O2,C_FULLMIX_LOW,low,3200,False,target_label_sensitivity,QUEUED_AT_STARTUP
O1_s71_SRC_CE,reused_source,87bb70ee05609e77935b1bab5b9a44c9532dc491,87bb70ee05609e77935b1bab5b9a44c9532dc491,fresh_keyed_SRC_CE,full_parameter_source,RIM_ONE_r3,RIM_ONE_r3,16,0,0,71,O1,SRC_CE,standard,0,True,common_initialization,REUSED_COMPLETE
O1_s71_F_CONV,reused_target,87bb70ee05609e77935b1bab5b9a44c9532dc491,87bb70ee05609e77935b1bab5b9a44c9532dc491,O1_s71_SRC_CE,F_CONV_14_weights_438192,Drishti_GS,RIM_ONE_r3,10,0,0,71,O1,C_LCTX,standard,0,True,matched_existing_LCTX,REUSED_COMPLETE
O1_s72_SRC_CE,reused_source,87bb70ee05609e77935b1bab5b9a44c9532dc491,87bb70ee05609e77935b1bab5b9a44c9532dc491,fresh_keyed_SRC_CE,full_parameter_source,RIM_ONE_r3,RIM_ONE_r3,16,0,0,72,O1,SRC_CE,standard,0,True,common_initialization,REUSED_COMPLETE
O1_s72_F_CONV,reused_target,87bb70ee05609e77935b1bab5b9a44c9532dc491,87bb70ee05609e77935b1bab5b9a44c9532dc491,O1_s72_SRC_CE,F_CONV_14_weights_438192,Drishti_GS,RIM_ONE_r3,10,0,0,72,O1,C_LCTX,standard,0,True,matched_existing_LCTX,REUSED_COMPLETE
O1_s73_SRC_CE,reused_source,87bb70ee05609e77935b1bab5b9a44c9532dc491,87bb70ee05609e77935b1bab5b9a44c9532dc491,fresh_keyed_SRC_CE,full_parameter_source,RIM_ONE_r3,RIM_ONE_r3,16,0,0,73,O1,SRC_CE,standard,0,True,common_initialization,REUSED_COMPLETE
O1_s73_F_CONV,reused_target,87bb70ee05609e77935b1bab5b9a44c9532dc491,87bb70ee05609e77935b1bab5b9a44c9532dc491,O1_s73_SRC_CE,F_CONV_14_weights_438192,Drishti_GS,RIM_ONE_r3,10,0,0,73,O1,C_LCTX,standard,0,True,matched_existing_LCTX,REUSED_COMPLETE
O2_s71_SRC_CE,reused_source,87bb70ee05609e77935b1bab5b9a44c9532dc491,87bb70ee05609e77935b1bab5b9a44c9532dc491,fresh_keyed_SRC_CE,full_parameter_source,Drishti_GS,Drishti_GS,10,0,0,71,O2,SRC_CE,standard,0,True,common_initialization,REUSED_COMPLETE
O2_s71_F_CONV,reused_target,87bb70ee05609e77935b1bab5b9a44c9532dc491,87bb70ee05609e77935b1bab5b9a44c9532dc491,O2_s71_SRC_CE,F_CONV_14_weights_438192,RIM_ONE_r3,Drishti_GS,16,0,0,71,O2,C_LCTX,standard,0,True,matched_existing_LCTX,REUSED_COMPLETE
O2_s72_SRC_CE,reused_source,87bb70ee05609e77935b1bab5b9a44c9532dc491,87bb70ee05609e77935b1bab5b9a44c9532dc491,fresh_keyed_SRC_CE,full_parameter_source,Drishti_GS,Drishti_GS,10,0,0,72,O2,SRC_CE,standard,0,True,common_initialization,REUSED_COMPLETE
O2_s72_F_CONV,reused_target,87bb70ee05609e77935b1bab5b9a44c9532dc491,87bb70ee05609e77935b1bab5b9a44c9532dc491,O2_s72_SRC_CE,F_CONV_14_weights_438192,RIM_ONE_r3,Drishti_GS,16,0,0,72,O2,C_LCTX,standard,0,True,matched_existing_LCTX,REUSED_COMPLETE
O2_s73_SRC_CE,reused_source,87bb70ee05609e77935b1bab5b9a44c9532dc491,87bb70ee05609e77935b1bab5b9a44c9532dc491,fresh_keyed_SRC_CE,full_parameter_source,Drishti_GS,Drishti_GS,10,0,0,73,O2,SRC_CE,standard,0,True,common_initialization,REUSED_COMPLETE
O2_s73_F_CONV,reused_target,87bb70ee05609e77935b1bab5b9a44c9532dc491,87bb70ee05609e77935b1bab5b9a44c9532dc491,O2_s73_SRC_CE,F_CONV_14_weights_438192,RIM_ONE_r3,Drishti_GS,16,0,0,73,O2,C_LCTX,standard,0,True,matched_existing_LCTX,REUSED_COMPLETE
