audit_error,case_id,center_crop_retention,dataset,foreground_pixels,grayscale_mask,image_mode,image_path_raw,image_shape,label_path_raw,mask_mode,mask_shape,mask_values_raw,patient_id,qc_status,site,source_partition,symmetric_padding
,REFUGE_test_g0001,1.0,fundus,603105,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/g0001.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/g0001.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_g0001,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_g0002,1.0,fundus,588038,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/g0002.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/g0002.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_g0002,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_g0004,1.0,fundus,617299,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/g0004.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/g0004.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_g0004,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_g0008,1.0,fundus,618274,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/g0008.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/g0008.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_g0008,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_g0015,1.0,fundus,617256,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/g0015.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/g0015.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_g0015,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_g0031,1.0,fundus,597272,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/g0031.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/g0031.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_g0031,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_g0033,1.0,fundus,610639,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/g0033.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/g0033.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_g0033,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_n0004,1.0,fundus,630112,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/n0004.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/n0004.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_n0004,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_n0012,1.0,fundus,626396,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/n0012.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/n0012.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_n0012,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_n0015,1.0,fundus,616153,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/n0015.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/n0015.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_n0015,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_n0024,1.0,fundus,623975,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/n0024.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/n0024.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_n0024,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_n0028,1.0,fundus,622716,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/n0028.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/n0028.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_n0028,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_n0031,1.0,fundus,624043,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/n0031.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/n0031.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_n0031,pass,REFUGE,test,"[0, 0, 0, 0]"
