seed,transition,update_batch,lambda_relation,kappa,relation_gradient_norm,kappa_sfm_gradient_norm,combined_historical_gradient_norm,sfm_to_relation_ratio,relation_sfm_gradient_cosine,finite,localization_pass,dec3_stable_gradient,dec3_plastic_gradient,dec3_rejected_gradient,dec3_background_gradient,dec1_stable_gradient,dec1_plastic_gradient,dec1_rejected_gradient,dec1_background_gradient,old_model_gradient_nonnull
1,REFUGE->RIM_ONE_r3,0,1.0,0.7707188129425049,0.7833844423294067,0.7867780327796936,1.467009425163269,1.0043319604869814,0.7458472847938538,True,True,0.18123358488082886,0.0,0.0,0.0,0.08457038551568985,0.0,0.0,0.0,0
1,REFUGE->RIM_ONE_r3,1,1.0,0.7646121978759766,0.5918205976486206,0.7476116418838501,1.1724923849105835,1.2632403212294525,0.5261174440383911,True,True,0.22005903720855713,0.0,0.0,0.0,0.07344864308834076,0.0,0.0,0.0,0
1,REFUGE->RIM_ONE_r3,2,1.0,0.8391245007514954,0.6392380595207214,0.48980712890625,0.9739406108856201,0.7662358672346424,0.47911331057548523,True,True,0.17963822185993195,0.0,0.0,0.0,0.06785789877176285,0.0,0.0,0.0,0
1,REFUGE->RIM_ONE_r3,3,1.0,0.800520658493042,0.454245388507843,0.5994175672531128,0.9409337639808655,1.3195897689179583,0.5871033668518066,True,True,0.18320202827453613,0.0,0.0,0.0,0.07238778471946716,0.0,0.0,0.0,0
1,REFUGE->RIM_ONE_r3,4,1.0,0.7273769378662109,0.25778278708457947,0.6848649382591248,0.8707018494606018,2.6567520120512085,0.6305134892463684,True,True,0.17568239569664001,0.0,0.0,0.0,0.07385759055614471,0.0,0.0,0.0,0
1,REFUGE->RIM_ONE_r3,5,1.0,0.8273612856864929,0.3464599847793579,0.5568732023239136,0.7763018608093262,1.6073232892351386,0.44704875349998474,True,True,0.16979597508907318,0.0,0.0,0.0,0.06929232180118561,0.0,0.0,0.0,0
1,REFUGE->RIM_ONE_r3,6,1.0,0.7772822380065918,0.4914754331111908,0.48457789421081543,0.8444388508796692,0.9859656486658717,0.49696606397628784,True,True,0.169857457280159,0.0,0.0,0.0,0.05910717695951462,0.0,0.0,0.0,0
1,REFUGE->RIM_ONE_r3,7,1.0,0.6788851022720337,0.4559793174266815,1.0078935623168945,1.3609702587127686,2.210393155560081,0.6837498545646667,True,True,0.18757665157318115,0.0,0.0,0.0,0.07155081629753113,0.0,0.0,0.0,0
1,REFUGE->RIM_ONE_r3,8,1.0,0.7833764553070068,0.5089660882949829,0.6121343970298767,0.9446178674697876,1.2027017341774258,0.41493022441864014,True,True,0.18270587921142578,0.0,0.0,0.0,0.06119725853204727,0.0,0.0,0.0,0
1,REFUGE->RIM_ONE_r3,9,1.0,0.8535383939743042,0.5572836399078369,0.519157350063324,0.9620302319526672,0.9315854851744468,0.5969434380531311,True,True,0.16379700601100922,0.0,0.0,0.0,0.06161409243941307,0.0,0.0,0.0,0
1,REFUGE->RIM_ONE_r3,10,1.0,0.7703700065612793,0.19138479232788086,0.38732269406318665,0.47667640447616577,2.0237903406641866,0.27367255091667175,True,True,0.16592435538768768,0.0,0.0,0.0,0.06832616031169891,0.0,0.0,0.0,0
1,REFUGE->RIM_ONE_r3,11,1.0,0.8350473642349243,0.6520560383796692,0.7680469751358032,1.2785931825637817,1.177884920818104,0.6187254190444946,True,True,0.18968366086483002,0.0,0.0,0.0,0.07228333503007889,0.0,0.0,0.0,0
1,REFUGE->RIM_ONE_r3,12,1.0,0.7940830588340759,0.2594703137874603,0.4859257936477661,0.6087757349014282,1.8727606505528878,0.2663284242153168,True,True,0.16743610799312592,0.0,0.0,0.0,0.07012150436639786,0.0,0.0,0.0,0
1,REFUGE->RIM_ONE_r3,13,1.0,0.7481306791305542,0.5665529370307922,0.785610556602478,1.2278128862380981,1.386649870212887,0.6395986080169678,True,True,0.1964888572692871,0.0,0.0,0.0,0.08421944826841354,0.0,0.0,0.0,0
1,REFUGE->RIM_ONE_r3,14,1.0,0.8055108785629272,0.39657726883888245,0.5233892798423767,0.7462264895439148,1.3197662119535505,0.3026626408100128,True,True,0.17602920532226562,0.0,0.0,0.0,0.06682848185300827,0.0,0.0,0.0,0
1,REFUGE->RIM_ONE_r3,15,1.0,0.8280400037765503,0.37135034799575806,0.6174172163009644,0.883607029914856,1.6626272726907936,0.5706087350845337,True,True,0.19014853239059448,0.0,0.0,0.0,0.07397769391536713,0.0,0.0,0.0,0
1,REFUGE->RIM_ONE_r3,16,1.0,0.7707188129425049,0.7833844423294067,0.7867780327796936,1.467009425163269,1.0043319604869814,0.7458472847938538,True,True,0.18123358488082886,0.0,0.0,0.0,0.08457038551568985,0.0,0.0,0.0,0
1,REFUGE->RIM_ONE_r3,17,1.0,0.7646121978759766,0.5918205976486206,0.7476116418838501,1.1724923849105835,1.2632403212294525,0.5261174440383911,True,True,0.22005903720855713,0.0,0.0,0.0,0.07344864308834076,0.0,0.0,0.0,0
1,REFUGE->RIM_ONE_r3,18,1.0,0.8391245007514954,0.6392380595207214,0.48980712890625,0.9739406704902649,0.7662358672346424,0.47911337018013,True,True,0.17963822185993195,0.0,0.0,0.0,0.06785789877176285,0.0,0.0,0.0,0
1,REFUGE->RIM_ONE_r3,19,1.0,0.800520658493042,0.454245388507843,0.5994175672531128,0.9409337639808655,1.3195897689179583,0.5871033668518066,True,True,0.18320202827453613,0.0,0.0,0.0,0.07238778471946716,0.0,0.0,0.0,0
