family,seed,order,origin,Final,Old,Incoming,Forget
B0_PARENT_LCTX,163,1,new_execution,0.6704725509434905,0.644592907802794,0.722231837224883,0.10421455226324194
B0_PARENT_LCTX,163,2,new_execution,0.6261473198091504,0.5993735378583721,0.6796948837107069,0.17432369067936632
B0_PARENT_LCTX,164,1,new_execution,0.6558825930922282,0.6329860862701246,0.7016756067364351,0.12577099658206287
B0_PARENT_LCTX,164,2,new_execution,0.6396599868200049,0.6104543432282103,0.698071274003594,0.17036067122639836
B2_PARENT_PAS_KL,162,1,new_execution,0.644670472370478,0.5981960729083122,0.7376192712948098,0.15342654573332976
B2_PARENT_PAS_KL,162,2,new_execution,0.6396743153912154,0.6101527915491547,0.6987173630753369,0.15927911304063924
B2_PARENT_PAS_KL,163,1,new_execution,0.6683732324349658,0.6405721650060532,0.7239753672927911,0.12319837079138385
B2_PARENT_PAS_KL,163,2,new_execution,0.6465585607721883,0.6132315481183275,0.7132125860799099,0.16717354208373875
B2_PARENT_PAS_KL,164,1,new_execution,0.7056312270784405,0.7093578943986061,0.6981778924381093,0.03814025041450114
B2_PARENT_PAS_KL,164,2,new_execution,0.6954805051134363,0.6864793679201981,0.7134827794999127,0.09951414229878025
F5,163,1,new_execution,0.705547699077384,0.6927933176001307,0.7310564620318902,0.06430610287775451
F5,163,2,new_execution,0.622870081783464,0.5947532009453753,0.6791038434596415,0.18190322767435285
F5,164,1,new_execution,0.6539301011548803,0.6372257721607812,0.6873387591430782,0.12069958397707936
F5,164,2,new_execution,0.6340887992616694,0.6019823505461651,0.6983016966926777,0.18011763035368894
B0_PARENT_LCTX,162,1,historical_import,0.6368513741789358,0.5902875464907255,0.7299790295553565,0.1671613223780441
B0_PARENT_LCTX,162,2,historical_import,0.6125730463221349,0.5767816097851397,0.6841559193961255,0.19602797007378764
F5,162,1,historical_import,0.6589646362973661,0.6171274871146486,0.7426389346628014,0.13649814537656868
F5,162,2,historical_import,0.618365456752258,0.5753911719689249,0.704314026318924,0.2040641166040426
