arm,backbone,domain,global_step,seed,status,task,valid_updates
B0,UNET_QUERY_128,RIM_ONE_r3,3000,261,DONE,s261__UNET_QUERY_128__RIM_ONE_r3__B0,1000
B1,UNET_QUERY_128,RIM_ONE_r3,3000,261,DONE,s261__UNET_QUERY_128__RIM_ONE_r3__B1,1000
B2,UNET_QUERY_128,RIM_ONE_r3,3000,261,DONE,s261__UNET_QUERY_128__RIM_ONE_r3__B2,1000
B3,UNET_QUERY_128,RIM_ONE_r3,3000,261,DONE,s261__UNET_QUERY_128__RIM_ONE_r3__B3,1000
B0,UNET_QUERY_128,Drishti_GS,3000,261,DONE,s261__UNET_QUERY_128__Drishti_GS__B0,1000
B1,UNET_QUERY_128,Drishti_GS,3000,261,DONE,s261__UNET_QUERY_128__Drishti_GS__B1,1000
B2,UNET_QUERY_128,Drishti_GS,3000,261,DONE,s261__UNET_QUERY_128__Drishti_GS__B2,1000
B3,UNET_QUERY_128,Drishti_GS,3000,261,DONE,s261__UNET_QUERY_128__Drishti_GS__B3,1000
B0,DINOV2_VITS14_QUERY,RIM_ONE_r3,3000,261,DONE,s261__DINOV2_VITS14_QUERY__RIM_ONE_r3__B0,1000
B1,DINOV2_VITS14_QUERY,RIM_ONE_r3,3000,261,DONE,s261__DINOV2_VITS14_QUERY__RIM_ONE_r3__B1,1000
B2,DINOV2_VITS14_QUERY,RIM_ONE_r3,3000,261,DONE,s261__DINOV2_VITS14_QUERY__RIM_ONE_r3__B2,1000
B3,DINOV2_VITS14_QUERY,RIM_ONE_r3,3000,261,DONE,s261__DINOV2_VITS14_QUERY__RIM_ONE_r3__B3,1000
B0,DINOV2_VITS14_QUERY,Drishti_GS,3000,261,DONE,s261__DINOV2_VITS14_QUERY__Drishti_GS__B0,1000
B1,DINOV2_VITS14_QUERY,Drishti_GS,3000,261,DONE,s261__DINOV2_VITS14_QUERY__Drishti_GS__B1,1000
B2,DINOV2_VITS14_QUERY,Drishti_GS,3000,261,DONE,s261__DINOV2_VITS14_QUERY__Drishti_GS__B2,1000
B3,DINOV2_VITS14_QUERY,Drishti_GS,3000,261,DONE,s261__DINOV2_VITS14_QUERY__Drishti_GS__B3,1000
QUERY_PREFIX,UNET_QUERY_128,RIM_ONE_r3,2000,262,DONE,s262__UNET_QUERY_128__RIM_ONE_r3__QUERY_PREFIX,2000
B0,UNET_QUERY_128,RIM_ONE_r3,3000,262,DONE,s262__UNET_QUERY_128__RIM_ONE_r3__B0,1000
B1,UNET_QUERY_128,RIM_ONE_r3,3000,262,DONE,s262__UNET_QUERY_128__RIM_ONE_r3__B1,1000
B2,UNET_QUERY_128,RIM_ONE_r3,3000,262,DONE,s262__UNET_QUERY_128__RIM_ONE_r3__B2,1000
B3,UNET_QUERY_128,RIM_ONE_r3,3000,262,DONE,s262__UNET_QUERY_128__RIM_ONE_r3__B3,1000
QUERY_PREFIX,UNET_QUERY_128,Drishti_GS,2000,262,DONE,s262__UNET_QUERY_128__Drishti_GS__QUERY_PREFIX,2000
B0,UNET_QUERY_128,Drishti_GS,3000,262,DONE,s262__UNET_QUERY_128__Drishti_GS__B0,1000
B1,UNET_QUERY_128,Drishti_GS,3000,262,DONE,s262__UNET_QUERY_128__Drishti_GS__B1,1000
B2,UNET_QUERY_128,Drishti_GS,3000,262,DONE,s262__UNET_QUERY_128__Drishti_GS__B2,1000
B3,UNET_QUERY_128,Drishti_GS,3000,262,DONE,s262__UNET_QUERY_128__Drishti_GS__B3,1000
QUERY_PREFIX,DINOV2_VITS14_QUERY,RIM_ONE_r3,2000,262,DONE,s262__DINOV2_VITS14_QUERY__RIM_ONE_r3__QUERY_PREFIX,2000
B0,DINOV2_VITS14_QUERY,RIM_ONE_r3,3000,262,DONE,s262__DINOV2_VITS14_QUERY__RIM_ONE_r3__B0,1000
B1,DINOV2_VITS14_QUERY,RIM_ONE_r3,3000,262,DONE,s262__DINOV2_VITS14_QUERY__RIM_ONE_r3__B1,1000
B2,DINOV2_VITS14_QUERY,RIM_ONE_r3,3000,262,DONE,s262__DINOV2_VITS14_QUERY__RIM_ONE_r3__B2,1000
