id,scope,query_or_action,result,limits,evidence
S00,prior audit,reuse 75d89bc G0 source/branch searches,39 distinct tips already searched; not repeated,scoped negative evidence only,../ki_ams_v0_1/COMPATIBILITY_REPORT.md
S01,workspace and known server project roots,git status/worktree; ssh id/stat/findmnt/df,prior audit clean; authorized project roots exist owned by account; NFS rw with29TiB free,no GPU query or data tensor reads,PROTOCOL_AMENDMENT.md
S02,local git refs + reflogs,rev-list --objects --all --reflog; deduplicate blob IDs; cat-file only selected text blobs,224 reachable/reflog commits;1103 source/config/shell/Markdown blobs;62 lexical hits rejected semantically,formal_03 and failure_bundles excluded; no tree export; no binary blobs,RECOVERY_REPORT.md
S03,historical JSON run/config metadata,filter config/prereg/lineage/source/launch/parent paths; read <=256KiB,171 eligible blobs;7 lexical hits: feature transport / prohibitions / recent KI plan,8 oversized metadata blobs not opened; no patient/case/result payload scan,RECOVERY_REPORT.md
S04,local/server git metadata and ignored source indexes,stash list; tag list; worktree list; reflog IDs; ls-files --others,local/server stash and tags empty; all9 server reflog commits already covered; known third-party references located,no whole-disk scan; no unrelated repos or shell history,CANDIDATE_LINEAGE.csv
S05,server project run metadata,depth<=3 inventory; select config/command/launch/source/lineage/parent/protocol/run_summary/log headers,622 text files read;1729613 bytes;22 log headers;7 prohibition/report hits;42 effective configs and42 command files,logs first8192 bytes; other text<=262144; skip data/GT/predictions/hidden/formal_03 and evaluation trees,private NAS metadata_search_private.json
S06,project-root logs and named method outputs,additional roots depth<=2; exclude already selected files; same text-only boundary,565 additional files;266 log headers;zero KI mechanism terms;only SSL_CL_seg/JASCL/PyTorch repo references,no unrelated users; no credential files; runtime headers only,private NAS additional_metadata_private.json
S07,explicit run-to-source references,read12 referenced Python files and parse42 effective JSON-format config.yaml files,source references resolve to existing LCR/SR-GAS/SHOR/PRES/single-teacher code;no KI binding,original path mappings retained privately; no checkpoint loads,CANDIDATE_LINEAGE.csv
S08,three project prechange source archives,tarfile member index; read only Python/YAML/shell members<=256KiB,1043 indexed members;441 source/config member reads;only low_rank percentile-test variable hit,no archive extraction; no image/weight/data member content reads,RECOVERY_REPORT.md
S09,three explicitly present third-party source checkouts,git exact HEAD/origin; README header; project model integration source,JASCL/LAG/STAR identified as their documented methods; none establishes original KI identity,not evidence of KI port; no repository-name inference; no new dependency installation,CANDIDATE_LINEAGE.csv
S10,search engineering anomalies,initial unbounded directory-name walk; narrowed depth-bounded recovery; corrected Git object enumeration,stopped own inventory process after110s; successful bounded metadata passes; history scan uses unfiltered object name metadata then safe content filter,initial filename inventory counts unknown; no content read by that inventory; no training processes touched,RECOVERY_REPORT.md
S11,bounded final closure,classify all explicit references and reviewed alias hits,no new KI source/config/run reference after follow-up; stop under V0.2 branchD,unreferenced external locations/unreachable history/deep private outputs remain uncovered,RECOVERY_REPORT.md
